word,node-label,new-val
(ยาง - ADJ),neg,-0.8192926045016077
(ดำรง - VERB),neg,-0.8186495176848875
(บัส - ADJ),neg,-0.8180064308681672
(ติดตาม - ADV),neg,-0.817363344051447
(สิ่งมาก - ADJ),neg,-0.8167202572347267
(สวรรค์ - ADJ),neg,-0.8160771704180064
(ย้าย - ADV),neg,-0.8154340836012862
(ซ้ำแล้วซ้ำ - ADV),neg,-0.8147909967845659
(เที่ยว - ADJ),neg,-0.8141479099678457
(กลบ - VERB),neg,-0.8135048231511254
(อนด์คลิฟรีสอร์ทแอนด์สปา - ADJ),neg,-0.8128617363344052
(ครีม - VERB),neg,-0.8122186495176849
(ทิศทาง - VERB),neg,-0.8115755627009646
(ดิ้นรน - VERB),neg,-0.8109324758842443
(ด้อย - ADJ),neg,-0.8102893890675241
(ใกล้ชัดเจน - ADJ),neg,-0.8096463022508038
(เจ็ท - VERB),neg,-0.8090032154340836
(ตุ๊กตุ๊กข้าม - VERB),neg,-0.8083601286173634
(อ่อนโยน - ADJ),neg,-0.8077170418006431
(โสร่ง - ADJ),neg,-0.8070739549839229
(เดียงสา - ADJ),neg,-0.8064308681672026
(ผิดพลาด - ADJ),neg,-0.8057877813504823
(กุมภาพันธ์ - VERB),neg,-0.805144694533762
(กระเบื้อง - VERB),neg,-0.8045016077170418
(ลอย - ADJ),neg,-0.8038585209003215
(ทำใจ - ADV),neg,-0.8032154340836013
(เจ็ทสกี - ADV),neg,-0.802572347266881
(แวะ - VERB),neg,-0.8019292604501608
(สว่างไสว - VERB),neg,-0.8012861736334406
(แพน - VERB),neg,-0.8006430868167203
(โบ๊ท - ADJ),neg,-0.8
(อุกอาจ - ADJ),neg,-0.7993569131832797
(เทียบ - ADJ),neg,-0.7987138263665595
(ค้าบริการ - VERB),neg,-0.7980707395498392
(บางลายุ่ง - VERB),neg,-0.797427652733119
(เบนิดอร์ม - VERB),neg,-0.7967845659163987
(ห่าง - ADV),neg,-0.7961414790996785
(ออกเฉียง - VERB),neg,-0.7954983922829582
(มาเฟีย - ADV),neg,-0.794855305466238
(ฉลาด - ADJ),neg,-0.7942122186495176
(รีบ - ADJ),neg,-0.7935691318327974
(ซ้ำ - ADJ),neg,-0.7929260450160772
(jetskis - VERB),neg,-0.7922829581993569
(สะท้อน - ADJ),neg,-0.7916398713826367
(ประเทศไทย - ADJ),neg,-0.7909967845659164
(ถั่ว - ADJ),neg,-0.7903536977491962
(เร่งเร้า - ADJ),neg,-0.7897106109324759
(กำปั้น - ADJ),neg,-0.7890675241157556
(เชี่ยวชาญ - ADJ),neg,-0.7884244372990353
(เข็น - ADJ),neg,-0.7877813504823151
(ท้องร่วง - ADJ),neg,-0.7871382636655948
(มัด - VERB),neg,-0.7864951768488746
(เหนื่อยล้า - VERB),neg,-0.7858520900321544
(ยิ้ม - ADV),neg,-0.7852090032154341
(ตราบ - ADV),neg,-0.7845659163987139
(แปรง - ADV),neg,-0.7839228295819936
(หล่น - VERB),neg,-0.7832797427652733
(ตำรวจ - VERB),neg,-0.782636655948553
(ล่า - VERB),neg,-0.7819935691318328
(ตกหลุม - VERB),neg,-0.7813504823151125
(กอริล - VERB),neg,-0.7807073954983923
(บานา - ADJ),neg,-0.780064308681672
(กลฉ้อฉล - VERB),neg,-0.7794212218649518
(ยิมมวย - VERB),neg,-0.7787781350482315
(googled - VERB),neg,-0.7781350482315113
(วิกฤติ - VERB),neg,-0.777491961414791
(Street - VERB),neg,-0.7768488745980707
(บันเทิง - ADJ),neg,-0.7762057877813505
(ดีงาม - ADV),neg,-0.7755627009646302
(โสเภณี - ADJ),neg,-0.77491961414791
(วิลล่า - VERB),neg,-0.7742765273311897
(สถานอาบอบนวด - VERB),neg,-0.7736334405144695
(เพลิดเพลิน - ADJ),neg,-0.7729903536977492
(คุณเกา - VERB),neg,-0.772347266881029
(เจาะจง - VERB),neg,-0.7717041800643086
(หาดกะตะแทน - VERB),neg,-0.7710610932475884
(กู้ - VERB),neg,-0.7704180064308682
